title,author,category,publish_year,title_id,author_id,cover_url
History,Herodotus,ancient_civilization,First published in 1494,/works/OL15678068W?edition=ia%3Aherodotouhalikar00hero,/authors/OL90792A/Herodotus,//covers.openlibrary.org/b/olid/OL23303278M-M.jpg
Rime of the ancient mariner,Samuel Taylor Coleridge,ancient_civilization,First published in 1836,/works/OL26130W?edition=ia%3Arimeofancientmar00colerich,/authors/OL26099A/Samuel_Taylor_Coleridge,//covers.openlibrary.org/b/olid/OL13498346M-M.jpg
On the Nature of the Universe,Titus Lucretius Carus,ancient_civilization,First published in 1486,/works/OL1548597W?edition=ia%3Atlucretiuscaruso02lucr,/authors/OL164746A/Titus_Lucretius_Carus,//covers.openlibrary.org/b/olid/OL24441773M-M.jpg
Politics,Aristotle,ancient_civilization,First published in 1492,/works/OL16247898W?edition=ia%3Aaristotelisderei00aris,/authors/OL6856645A/Aristotle,//covers.openlibrary.org/b/olid/OL24633180M-M.jpg
Paekche ŭi sŏnggwak kwa kŏnchʻuk,Sahoe Kwahagwŏn (Korea : North). Kogohak...,ancient_civilization,First published in 2008,/works/OL16702878W,/authors/OL8544662A/Sahoe_Kwahagwŏn_(Korea_North)._Kogohak_Yŏn'guso,/images/icons/avatar_book-sm.png
The Brothers Karamazov,Фёдор Михайлович Достоевский,ancient_civilization,First published in 1880,/works/OL10432709W?edition=ia%3Adiebruderkarama00dost,/authors/OL22242A/Фёдор_Михайлович_Достоевский,//covers.openlibrary.org/b/olid/OL28036303M-M.jpg
Ὀδύσσεια,Όμηρος,ancient_civilization,First published in 1488,/works/OL61982W?edition=ia%3Aodysseybookiv00home,/authors/OL18404A/Όμηρος,//covers.openlibrary.org/b/olid/OL24872302M-M.jpg
Анна Каренина,Lev Nikolaevič Tolstoy,ancient_civilization,First published in 1876,/works/OL267096W?edition=ia%3Anybc211555,/authors/OL26783A/Lev_Nikolaevič_Tolstoy,//covers.openlibrary.org/b/olid/OL22876225M-M.jpg
Sunzi bing fa,Sun Tzu,ancient_civilization,First published in 1910,/works/OL278851W?edition=ia%3Aartofwargriff00sunz,/authors/OL30553A/Sun_Tzu,//covers.openlibrary.org/b/olid/OL5938970M-M.jpg
Ecclesiastical history,Eusebius of Caesarea,ancient_civilization,First published in 1476,/works/OL14833W?edition=ia%3Aanecclesiastical00euseuoft,/authors/OL2409562A/Eusebius_of_Caesarea,//covers.openlibrary.org/b/olid/OL7232163M-M.jpg
Euripides,Euripides,ancient_civilization,First published in 1597,/works/OL10306667W?edition=ia%3Aeuripides01euriuoft,/authors/OL21589A/Euripides,//covers.openlibrary.org/b/olid/OL7030439M-M.jpg
La cité antique,Numa Fustel de Coulanges,ancient_civilization,First published in 1870,/works/OL3018626W?edition=ia%3Aancientcitystudy00fust,/authors/OL464533A/Numa_Fustel_de_Coulanges,//covers.openlibrary.org/b/olid/OL23276747M-M.jpg
De bello Gallico,Gaius Julius Caesar,ancient_civilization,First published in 1802,/works/OL1150559W?edition=ia%3Afirstsixbooksofc00caesrich,/authors/OL7178325A/Gaius_Julius_Caesar,//covers.openlibrary.org/b/olid/OL7033745M-M.jpg
Historiae,P. Cornelius Tacitus,ancient_civilization,First published in 1852,/works/OL16200776W?edition=ia%3Ahistorieswithnot00taciuoft,/authors/OL4274775A/P._Cornelius_Tacitus,//covers.openlibrary.org/b/olid/OL24434044M-M.jpg
Congo,Michael Crichton,ancient_civilization,First published in 1980,/works/OL46913W?edition=ia%3Acongo0000cric_d7m2,/authors/OL28257A/Michael_Crichton,//covers.openlibrary.org/b/olid/OL31885320M-M.jpg
Histoire universelle,Cesare Cantù,ancient_civilization,First published in 1984,/works/OL3145151W,/authors/OL499507A/Cesare_Cantù,/images/icons/avatar_book-sm.png
What happened in history,V. Gordon Childe,ancient_civilization,First published in 1942,/works/OL1138722W?edition=ia%3Awhathappenedinhi00chil,/authors/OL115986A/V._Gordon_Childe,//covers.openlibrary.org/b/olid/OL6500401M-M.jpg
The Story of Civilization I: Our Oriental Heritage,Will Durant,ancient_civilization,First published in 1935,/works/OL1073962W?edition=ia%3Aourorientalherit01dura,/authors/OL109674A/Will_Durant,//covers.openlibrary.org/b/olid/OL24373470M-M.jpg
"Politische Geschichte (Provinzen und Randvölker: Mesopotamien, Armenien, Iran, Südarabien, Rom und der Ferne Osten) (German Edition)",Hildegard Temporini,ancient_civilization,First published in 1972,/works/OL18820010W,/authors/OL1694889A/Hildegard_Temporini,//covers.openlibrary.org/b/olid/OL20220847M-M.jpg
Histoire ancienne des Egyptiens,Charles Rollin,ancient_civilization,First published in 1733,/works/OL2302397W?edition=ia%3Aancienthistoryof04rolluoft,/authors/OL303881A/Charles_Rollin,//covers.openlibrary.org/b/olid/OL22846427M-M.jpg
"History of Egypt, Chaldea, Syria, Babylonia, And Assyria",Gaston Maspero,ancient_civilization,First published in 1901,/works/OL1101827W?edition=ia%3Acu31924091767453,/authors/OL113738A/Gaston_Maspero,//covers.openlibrary.org/b/olid/OL24188866M-M.jpg
Homer and His Age,Andrew Lang,ancient_civilization,First published in 1906,/works/OL1089014W?edition=ia%3Ahomerhisage00langrich,/authors/OL3152608A/Andrew_Lang,//covers.openlibrary.org/b/olid/OL14013562M-M.jpg
