title,author,category,publish_year,title_id,author_id,cover_url
The Essay on Man,Alexander Pope,anthropology,First published in 1733,/works/OL79445W?edition=ia%3Aanessayonman00popeuoft,/authors/OL39826A/Alexander_Pope,//covers.openlibrary.org/b/olid/OL7172203M-M.jpg
"The holy war: made by Shaddai upon Diabolus, for the regaining of the metropolis of the world; or, the losing and taking again of the town of Mansoul. By John Bunyan, ...",John Bunyan,anthropology,First published in 1682,/works/OL107192W?edition=ia%3Aholywarmadebysha05buny,/authors/OL18112A/John_Bunyan,//covers.openlibrary.org/b/olid/OL24996382M-M.jpg
Paekche ŭi sŏnggwak kwa kŏnchʻuk,Sahoe Kwahagwŏn (Korea : North). Kogohak...,anthropology,First published in 2008,/works/OL16702878W,/authors/OL8544662A/Sahoe_Kwahagwŏn_(Korea_North)._Kogohak_Yŏn'guso,/images/icons/avatar_book-sm.png
Summa Theologica,Thomas Aquinas,anthropology,First published in 1467,/works/OL15314568W?edition=ia%3Asummatheologica01thomuoft,/authors/OL38887A/Thomas_Aquinas,//covers.openlibrary.org/b/olid/OL23343541M-M.jpg
Life on the Mississippi,Mark Twain,anthropology,First published in 1883,/works/OL53959W?edition=ia%3Alifeonmississip00twai,/authors/OL18319A/Mark_Twain,//covers.openlibrary.org/b/olid/OL31957231M-M.jpg
The golden bough,James George Frazer,anthropology,First published in 1894,/works/OL1159648W?edition=ia%3Agoldenboughstudy01fraz,/authors/OL2689875A/James_George_Frazer,//covers.openlibrary.org/b/olid/OL13504043M-M.jpg
Oecd Economic Surveys,Organisation for Economic Co-operation a...,anthropology,First published in 1980,/works/OL7295649W?edition=ia%3Aoecdeconomicsurv0000orga_h0q8,/authors/OL2139510A/Organisation_for_Economic_Co-operation_and_Development,//covers.openlibrary.org/b/olid/OL12902507M-M.jpg
Authority and the Individual,Bertrand Russell,anthropology,First published in 1949,/works/OL1088583W?edition=ia%3Aauthorityindivid0000russ_f0t3,/authors/OL112912A/Bertrand_Russell,//covers.openlibrary.org/b/olid/OL6051211M-M.jpg
Primitive Culture,Edward Burnett Tylor,anthropology,First published in 2010,/works/OL21123651W,/authors/OL8037550A/Edward_Burnett_Tylor,//covers.openlibrary.org/b/olid/OL32800803M-M.jpg
"Guns, germs, and steel",Jared Diamond,anthropology,First published in 1997,/works/OL276558W?edition=ia%3Agunsgermssteelfa0000diam_l8u9,/authors/OL2630733A/Jared_Diamond,//covers.openlibrary.org/b/olid/OL39467226M-M.jpg
The Human Condition,Hannah Arendt,anthropology,First published in 1958,/works/OL10460638W?edition=ia%3Ahumancondition0000aren,/authors/OL142235A/Hannah_Arendt,//covers.openlibrary.org/b/olid/OL14968018M-M.jpg
Cultural studies,Lawrence Grossberg,anthropology,First published in 1990,/works/OL18867361W,/authors/OL219617A/Lawrence_Grossberg,/images/icons/avatar_book-sm.png
ההיסטוריה של המחר,Yuval Noah Harari,anthropology,First published in 2015,/works/OL17641518W?edition=ia%3Ahomodeusbriefhis0000hara_h5h3,/authors/OL3778242A/Yuval_Noah_Harari,//covers.openlibrary.org/b/olid/OL26247313M-M.jpg
