title,author,category,publish_year,title_id,author_id,cover_url
Paekche ŭi sŏnggwak kwa kŏnchʻuk,Sahoe Kwahagwŏn (Korea : North). Kogohak...,archaeology,First published in 2008,/works/OL16702878W,/authors/OL8544662A/Sahoe_Kwahagwŏn_(Korea_North)._Kogohak_Yŏn'guso,/images/icons/avatar_book-sm.png
The works of Hubert Howe Bancroft,Hubert Howe Bancroft,archaeology,First published in 1882,/works/OL3421434W?edition=ia%3Aworksofhuberthow39bancrich,/authors/OL563100A/Hubert_Howe_Bancroft,//covers.openlibrary.org/b/olid/OL7209848M-M.jpg
"Narrative of the life of Frederick Douglass, an American slave",Frederick Douglass,archaeology,First published in 1845,/works/OL69181W?edition=ia%3Anarrativeoflifeo1845doug,/authors/OL2641167A/Frederick_Douglass,//covers.openlibrary.org/b/olid/OL25310118M-M.jpg
Murder in Mesopotamia,Agatha Christie,archaeology,First published in 1936,/works/OL472572W?edition=ia%3Amurderinmesopota0000agat_x6k9,/authors/OL27695A/Agatha_Christie,//covers.openlibrary.org/b/olid/OL14244001M-M.jpg
"Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung","Deutsches Archäologisches Institut, Athe...",archaeology,First published in 1876,/works/OL13101777W?edition=ia%3Amitteilungendes01deut,/authors/OL5995629A/Deutsches_Archäologisches_Institut_Athenische_Abteilung,//covers.openlibrary.org/b/olid/OL14023063M-M.jpg
The Maine woods,Henry David Thoreau,archaeology,First published in 1803,/works/OL55721W?edition=ia%3Amainewoods00thor,/authors/OL19690A/Henry_David_Thoreau,//covers.openlibrary.org/b/olid/OL6904644M-M.jpg
"Götter, Gräber und Gelehrte",C. W. Ceram,archaeology,First published in 1949,/works/OL3477595W?edition=ia%3Agodsgravesschola00mare,/authors/OL579858A/C._W._Ceram,//covers.openlibrary.org/b/olid/OL6093643M-M.jpg
Congo,Michael Crichton,archaeology,First published in 1980,/works/OL46913W?edition=ia%3Acongo0000cric_d7m2,/authors/OL28257A/Michael_Crichton,//covers.openlibrary.org/b/olid/OL31885320M-M.jpg
Annali,Instituto di corrispondenza archeologica,archaeology,First published in 1829,/works/OL13091527W?edition=ia%3Aannali31instgoog,/authors/OL6655356A/Instituto_di_corrispondenza_archeologica,//covers.openlibrary.org/b/olid/OL20621806M-M.jpg
Culture,Canada. Dept. of External Affairs.,archaeology,First published in 1963,/works/OL5029292W,/authors/OL1094195A/Canada._Dept._of_External_Affairs.,/images/icons/avatar_book-sm.png
"Over Sea, Under Stone (The Dark Is Rising #1)",Susan Cooper,archaeology,First published in 1965,/works/OL894247W?edition=ia%3Aoverseaunderston1965coop,/authors/OL397243A/Susan_Cooper,//covers.openlibrary.org/b/olid/OL24738377M-M.jpg
Classification,Library of Congress. Subject Cataloging ...,archaeology,First published in 1904,/works/OL4398462W?edition=ia%3Aclassificationcl00libr,/authors/OL868096A/Library_of_Congress._Subject_Cataloging_Division.,//covers.openlibrary.org/b/olid/OL22877965M-M.jpg
Edition 1,Thomson Gale,archaeology,First published in 1989,/works/OL8573630W?edition=ia%3Ainformationsourc0000hayn,/authors/OL2876801A/Thomson_Gale,//covers.openlibrary.org/b/olid/OL12822874M-M.jpg
The Seven Storey Mountain,Thomas Merton,archaeology,First published in 1948,/works/OL461723W?edition=ia%3Asevenstoreymount00mertrich,/authors/OL26986A/Thomas_Merton,//covers.openlibrary.org/b/olid/OL6031771M-M.jpg
The Discovery of the Tomb of Tutankhamen: discovered by the late Earl of Carnarvon and Howard Carter,"Carter, Howard",archaeology,First published in 1923,/works/OL6683954W?edition=ia%3Atomboftutankhame01cart,/authors/OL1806629A/Carter_Howard,//covers.openlibrary.org/b/olid/OL6661682M-M.jpg
Relation du voyage d'Espagne,Marie-Catherine Le Jumelle de Berneville...,archaeology,First published in 1691,/works/OL23976W?edition=ia%3Aladystravelsint00aulngoog,/authors/OL5161359A/Marie-Catherine_Le_Jumelle_de_Berneville_comtesse_d'Aulnoy,//archive.org/services/img/ladystravelsint00aulngoog
"David Walker's appeal, in four articles, together with a preamble, to the coloured citizens of the world, but in particular, and very expressly, to those of the United States of America",David Walker,archaeology,First published in 1829,/works/OL41793W?edition=ia%3Awalkersappealinf1829walk,/authors/OL30830A/David_Walker,//covers.openlibrary.org/b/olid/OL24587623M-M.jpg
The Athenian Agora,American School of Classical Studies at ...,archaeology,First published in 1953,/works/OL4238442W?edition=ia%3Ahellenisticpotte00rotr,/authors/OL813625A/American_School_of_Classical_Studies_at_Athens.,//covers.openlibrary.org/b/olid/OL19605935M-M.jpg
"Come, tell me how you live",Agatha Christie,archaeology,First published in 1946,/works/OL471679W?edition=ia%3Acometellmehowyou0000unse_u7g8,/authors/OL27695A/Agatha_Christie,//covers.openlibrary.org/b/olid/OL16643817M-M.jpg
Journal of the British Archaeological Association,British Archaeological Association,archaeology,First published in 1845,/works/OL16829693W?edition=ia%3Ajournalofbritish40brit,/authors/OL1783574A/British_Archaeological_Association,//covers.openlibrary.org/b/olid/OL25456159M-M.jpg
The Reef,Nora Roberts,archaeology,First published in 1998,/works/OL111427W?edition=ia%3Areef0000robe_t8e7,/authors/OL18977A/Nora_Roberts,//covers.openlibrary.org/b/olid/OL35885961M-M.jpg
Und die Bibel hat doch recht,"Keller, Werner",archaeology,First published in 1955,/works/OL1407172W?edition=ia%3Abibleashistory0000kell_k6w6,/authors/OL145152A/Keller_Werner,//covers.openlibrary.org/b/olid/OL21350352M-M.jpg
Tōkyō Kokuritsu Hakubutsukan zuhan mokuroku,Tōkyō Kokuritsu Hakubutsukan.,archaeology,First published in 1970,/works/OL10767370W,/authors/OL4499907A/Tōkyō_Kokuritsu_Hakubutsukan.,//covers.openlibrary.org/b/olid/OL19436133M-M.jpg
Archaeology,Mark Q. Sutton,archaeology,First published in 2002,/works/OL2132654W?edition=ia%3Aarchaeologyscien0000sutt_a9v8,/authors/OL266267A/Mark_Q._Sutton,//covers.openlibrary.org/b/olid/OL3423646M-M.jpg
Serpent (Numa Files),Clive Cussler,archaeology,First published in 1999,/works/OL84884W?edition=ia%3Aserpentnovelfrom00cuss,/authors/OL29079A/Clive_Cussler,//covers.openlibrary.org/b/olid/OL23243600M-M.jpg
"Thief of Time, A  Low Price",Tony Hillerman,archaeology,First published in 1988,/works/OL55942W?edition=ia%3Athiefoftimenovel0000hill,/authors/OL31195A/Tony_Hillerman,//covers.openlibrary.org/b/olid/OL18350576M-M.jpg
In the beginning: an introduction to archaeology,Brian M. Fagan,archaeology,First published in 1972,/works/OL103279W?edition=ia%3Ainbeginningintro0000faga_t1b1,/authors/OL24150A/Brian_M._Fagan,//covers.openlibrary.org/b/olid/OL6785497M-M.jpg
"Archaeology: an introduction : the history, principles and methods of modern archaeology",Kevin Greene,archaeology,First published in 1983,/works/OL3747180W?edition=ia%3Aarchaeologyintro0000gree,/authors/OL658023A/Kevin_Greene,//covers.openlibrary.org/b/olid/OL17417564M-M.jpg
The discovery of the Titanic,Robert D. Ballard,archaeology,First published in 1817,/works/OL1805573W?edition=ia%3Aladecouverteduti0000ball,/authors/OL216606A/Robert_D._Ballard,//covers.openlibrary.org/b/olid/OL32113765M-M.jpg
An Old Captivity,Nevil Shute,archaeology,First published in 1940,/works/OL2779806W?edition=ia%3Aoldcaptivity0000shut_l4k1,/authors/OL410117A/Nevil_Shute,//covers.openlibrary.org/b/olid/OL9546752M-M.jpg
Winckelmannsprogramm,Archäologische Gesellschaft zu Berlin.,archaeology,First published in 1800,/works/OL10724751W?edition=ia%3Awinckelmannsprog77archuoft,/authors/OL604090A/Archäologische_Gesellschaft_zu_Berlin.,//covers.openlibrary.org/b/olid/OL14048445M-M.jpg
Anglo-Saxon attitudes,Angus Wilson,archaeology,First published in 1956,/works/OL2634869W?edition=ia%3Aanglosaxonattitu00wils,/authors/OL383901A/Angus_Wilson,//covers.openlibrary.org/b/olid/OL6200584M-M.jpg
The Source,James A. Michener,archaeology,First published in 1900,/works/OL2385455W?edition=ia%3Asourcenovel00michrich,/authors/OL6898136A/James_A._Michener,//covers.openlibrary.org/b/olid/OL5940777M-M.jpg
Dragon Teeth,Michael Crichton,archaeology,First published in 2017,/works/OL17881779W?edition=ia%3Adragonteethnovel0000cric,/authors/OL28257A/Michael_Crichton,//covers.openlibrary.org/b/olid/OL27231026M-M.jpg
They wrote on clay: the Babylonian tablets speak today,Edward Chiera,archaeology,First published in 1938,/works/OL7569566W?edition=ia%3Atheywroteonclayb0000chie,/authors/OL2317962A/Edward_Chiera,//covers.openlibrary.org/b/olid/OL21273401M-M.jpg
The Pagans,Arlo Bates,archaeology,First published in 1884,/works/OL1794398W?edition=ia%3Apagansthearlo00baterich,/authors/OL215676A/Arlo_Bates,//covers.openlibrary.org/b/olid/OL7186301M-M.jpg
Annual editions,Elvio Angeloni,archaeology,First published in 1993,/works/OL18509911W?edition=ia%3Aannualeditionsan0000unse_n1n3,/authors/OL2634377A/Elvio_Angeloni,//covers.openlibrary.org/b/olid/OL32836900M-M.jpg
The history of Atlantis,Lewis Spence,archaeology,First published in 1900,/works/OL1201755W?edition=ia%3Ahistoryofatlanti00spenuoft,/authors/OL121282A/Lewis_Spence,//covers.openlibrary.org/b/olid/OL7152782M-M.jpg
The bull of Minos,Leonard Cottrell,archaeology,First published in 1920,/works/OL4287805W?edition=ia%3Abullofminos0000cott,/authors/OL831986A/Leonard_Cottrell,//covers.openlibrary.org/b/olid/OL6250006M-M.jpg
Humanity,James G. Peoples,archaeology,First published in 1988,/works/OL13121W?edition=ia%3Ahumanityintroduc0000peop_p5s4,/authors/OL22624A/James_G._Peoples,//covers.openlibrary.org/b/olid/OL35442M-M.jpg
"Temples, Tombs, and Hieroglyphs",Barbara Mertz,archaeology,First published in 1964,/works/OL4784598W?edition=ia%3Atemplestombshier00mert,/authors/OL1005934A/Barbara_Mertz,//covers.openlibrary.org/b/olid/OL5883754M-M.jpg
Shadow Divers,Robert Kurson,archaeology,First published in 2004,/works/OL1909529W?edition=ia%3Ashadowdiverstrue0000kurs_y4v3,/authors/OL228714A/Robert_Kurson,//covers.openlibrary.org/b/olid/OL33890852M-M.jpg
Advances in Electronics and Electron Physics (Advances in Imaging and Electron Physics),Peter W. Hawkes,archaeology,First published in 1984,/works/OL7938237W?edition=ia%3Aadvancesinelectr0000unse_m5x1,/authors/OL2646381A/Peter_W._Hawkes,//covers.openlibrary.org/b/olid/OL10070230M-M.jpg
Archaeology: a brief introduction,Brian M. Fagan,archaeology,First published in 1978,/works/OL103278W?edition=ia%3Aarchaeologybrief00faga_0,/authors/OL24150A/Brian_M._Fagan,//covers.openlibrary.org/b/olid/OL3492880M-M.jpg
Archaeology Coursebook,"Grant, Jim",archaeology,First published in 2001,/works/OL21289508W,/authors/OL835266A/Grant_Jim,/images/icons/avatar_book-sm.png
The Arts & Crafts of Ancient Egypt,W. M. Flinders Petrie,archaeology,First published in 1909,/works/OL37104W?edition=ia%3Acu31924075666770,/authors/OL2746209A/W._M._Flinders_Petrie,//covers.openlibrary.org/b/olid/OL24187650M-M.jpg
Ancient lives,Brian M. Fagan,archaeology,First published in 2000,/works/OL103276W?edition=ia%3Aancientlivesintr0000faga,/authors/OL24150A/Brian_M._Fagan,//covers.openlibrary.org/b/olid/OL37513M-M.jpg
Birthright,Nora Roberts,archaeology,First published in 2003,/works/OL111543W?edition=ia%3Abirthright0000robe_q3h5,/authors/OL18977A/Nora_Roberts,//covers.openlibrary.org/b/olid/OL32730162M-M.jpg
World Prehistory and Archaeology,Michael Chazan,archaeology,First published in 2007,/works/OL8024622W?edition=ia%3Aworldprehistorya0000chaz_r9e8,/authors/OL2672894A/Michael_Chazan,//covers.openlibrary.org/b/olid/OL32155384M-M.jpg
Nineveh and its remains,Austen Henry Layard,archaeology,First published in 1849,/works/OL6283758W?edition=ia%3Aninevehitsremain00layarich,/authors/OL3021256A/Austen_Henry_Layard,//covers.openlibrary.org/b/olid/OL7228491M-M.jpg
"[Memorial of National Institution for promotion of science, Washington, D.C.]",United States. Dept. of the Interior.,archaeology,First published in 1858,/works/OL10832468W,/authors/OL166345A/United_States._Dept._of_the_Interior.,/images/icons/avatar_book-sm.png
Archaeology,Brian M. Fagan,archaeology,First published in 2015,/works/OL25218137W,/authors/OL24150A/Brian_M._Fagan,/images/icons/avatar_book-sm.png
The two faces of January,Patricia Highsmith,archaeology,First published in 1964,/works/OL59492W?edition=ia%3Atwofacesofjanuar00hig_9gv,/authors/OL28577A/Patricia_Highsmith,//covers.openlibrary.org/b/olid/OL22297034M-M.jpg
The making of the Middle Ages,R. W. Southern,archaeology,First published in 1953,/works/OL1326491W?edition=ia%3Amakingofmiddleag00soutrich,/authors/OL135201A/R._W._Southern,//covers.openlibrary.org/b/olid/OL204741M-M.jpg
In the Beginning,Brian M. Fagan,archaeology,First published in 2013,/works/OL20742689W,/authors/OL24150A/Brian_M._Fagan,/images/icons/avatar_book-sm.png
The Maya,Michael D. Coe,archaeology,First published in 1966,/works/OL526755W?edition=ia%3Amaya00coem,/authors/OL37063A/Michael_D._Coe,//covers.openlibrary.org/b/olid/OL24943598M-M.jpg
The dawn of European civilization,V. Gordon Childe,archaeology,First published in 1925,/works/OL1138721W?edition=ia%3Adawnofeuropeanci00chil,/authors/OL115986A/V._Gordon_Childe,//covers.openlibrary.org/b/olid/OL6245423M-M.jpg
The Greek stones speak: the story of archaeology in Greek lands,Paul Lachlan MacKendrick,archaeology,First published in 1962,/works/OL4797867W?edition=ia%3Agreekstonesspeak00mack,/authors/OL1009650A/Paul_Lachlan_MacKendrick,//covers.openlibrary.org/b/olid/OL23829841M-M.jpg
Goosebumps - Return of the Mummy,R. L. Stine,archaeology,First published in 1994,/works/OL72394W?edition=ia%3Alacoleredelamomi0000stin,/authors/OL35524A/R._L._Stine,//covers.openlibrary.org/b/olid/OL12604086M-M.jpg
"Mitteilungen des Deutschen archaeologischen Instituts, Roemische Abteilung=","Deutsches Archäologisches Institut, Römi...",archaeology,First published in 1888,/works/OL13133598W?edition=ia%3Amitteilungendes00abtegoog,/authors/OL6027601A/Deutsches_Archäologisches_Institut_Römische_Abteilung,//covers.openlibrary.org/b/olid/OL20479188M-M.jpg
Aku-Aku: the secret of Easter Island.,Thor Heyerdahl,archaeology,First published in 1958,/works/OL2292707W?edition=ia%3Aakuakusecretofe00heye,/authors/OL2751797A/Thor_Heyerdahl,//covers.openlibrary.org/b/olid/OL6247005M-M.jpg
The archaeology of human bones,Simon Mays,archaeology,First published in 1998,/works/OL18808332W,/authors/OL388510A/Simon_Mays,/images/icons/avatar_book-sm.png
Digging up the past,Leonard Woolley,archaeology,First published in 1921,/works/OL1526139W?edition=ia%3Adigginguppas00wool,/authors/OL162010A/Leonard_Woolley,//covers.openlibrary.org/b/olid/OL6754130M-M.jpg
The native races of the Pacific states of North America,Hubert Howe Bancroft,archaeology,First published in 1874,/works/OL3421433W?edition=ia%3Anativeracesofpac04banc,/authors/OL563100A/Hubert_Howe_Bancroft,//covers.openlibrary.org/b/olid/OL6925324M-M.jpg
The excavations at Dura-Europos: Conducted by Yale University and the French Academy of Inscriptions and Letters.  Final Report,Yale University,archaeology,First published in 1900,/works/OL11121519W?edition=ia%3Aexcavationsatdu1928rost_0,/authors/OL4641466A/Yale_University,//covers.openlibrary.org/b/olid/OL185266M-M.jpg
Break No Bones: A Novel,Kathy Reichs,archaeology,First published in 2006,/works/OL14870349W?edition=ia%3Abreaknobones00reic,/authors/OL24769A/Kathy_Reichs,//covers.openlibrary.org/b/olid/OL24962181M-M.jpg
Science in Arcady,Grant Allen,archaeology,First published in 1892,/works/OL1797187W?edition=ia%3Ascienceinarcady00allerich,/authors/OL215831A/Grant_Allen,//covers.openlibrary.org/b/olid/OL7058879M-M.jpg
"Frauds, myths, and mysteries: science and pseudoscience in archaeology",Kenneth L. Feder,archaeology,First published in 1990,/works/OL1870924W?edition=ia%3Afraudsmythsmyste00fede,/authors/OL224008A/Kenneth_L._Feder,//covers.openlibrary.org/b/olid/OL2194589M-M.jpg
A Handbook of Greek Mythology,"Rose, H. J.",archaeology,First published in 1928,/works/OL1382925W?edition=ia%3Ahandbookofgreekm0000rose_d4r2,/authors/OL141792A/Rose_H._J.,//covers.openlibrary.org/b/olid/OL6735295M-M.jpg
The sea hunters: true adventures with famous shipwrecks,Clive Cussler,archaeology,First published in 1996,/works/OL84913W?edition=ia%3Atheseahunters0000cuss,/authors/OL29079A/Clive_Cussler,//covers.openlibrary.org/b/olid/OL28331422M-M.jpg
Erinnerungen an die Zukunft: Unsolved mysteries of the past,Erich von Däniken,archaeology,First published in 1968,/works/OL11390074W?edition=ia%3Achariotsofgods0000unse,/authors/OL1970832A/Erich_von_Däniken,//covers.openlibrary.org/b/olid/OL19481690M-M.jpg
The murder of King Tut: the plot to kill the child king : a nonfiction thriller,James Patterson,archaeology,First published in 2009,/works/OL14920149W?edition=ia%3Amurderofkingtut0000patt_y5e8,/authors/OL22258A/James_Patterson,//covers.openlibrary.org/b/olid/OL32127368M-M.jpg
Pyramid,James Putnam,archaeology,First published in 1994,/works/OL3192365W?edition=ia%3Apyramid0000putn_l5j6,/authors/OL513313A/James_Putnam,//covers.openlibrary.org/b/olid/OL20941711M-M.jpg
The Navigator: A Novel from the Numa Files,Clive Cussler,archaeology,First published in 2007,/works/OL84879W?edition=ia%3Anavigator00cuss,/authors/OL29079A/Clive_Cussler,//covers.openlibrary.org/b/olid/OL24968375M-M.jpg
Excavations,Isabel Bennett,archaeology,First published in 1990,/works/OL2415997W,/authors/OL332448A/Isabel_Bennett,//covers.openlibrary.org/b/olid/OL12068557M-M.jpg
