title,author,category,publish_year,title_id,author_id,cover_url
Winnie-the-Pooh,A. A. Milne,bears,First published in 1925,/works/OL476641W?edition=ia%3Awinniethepooh0000miln_y2l0,/authors/OL29881A/A._A._Milne,//covers.openlibrary.org/b/olid/OL27560124M-M.jpg
Railroad accident report,United States. National Transportation S...,bears,First published in 1975,/works/OL1739733W,/authors/OL200763A/United_States._National_Transportation_Safety_Board.,/images/icons/avatar_book-sm.png
Northern Lights,Philip Pullman,bears,First published in 1995,/works/OL28988W?edition=ia%3Alacroiseedesmond0000pull_q5h3,/authors/OL26545A/Philip_Pullman,//covers.openlibrary.org/b/olid/OL22735148M-M.jpg
Jane Eyre,Charlotte Brontë,bears,First published in 1847,/works/OL1095427W?edition=ia%3Abub_gb_UBbowmwj1tEC,/authors/OL4326635A/Charlotte_Brontë,//covers.openlibrary.org/b/olid/OL27636229M-M.jpg
The House at Pooh Corner,A. A. Milne,bears,First published in 1925,/works/OL476471W?edition=ia%3Adeadiectiviscomp00weis,/authors/OL29881A/A._A._Milne,//covers.openlibrary.org/b/olid/OL1703628M-M.jpg
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,bears,First published in 1967,/works/OL59133W?edition=ia%3Abrownbearbrownbe00bill,/authors/OL28506A/Bill_Martin_Jr.,//covers.openlibrary.org/b/olid/OL7931396M-M.jpg
The Yearling,Marjorie Kinnan Rawlings,bears,First published in 1938,/works/OL111382W?edition=ia%3Ayearling00rawl,/authors/OL18973A/Marjorie_Kinnan_Rawlings,//covers.openlibrary.org/b/olid/OL19361697M-M.jpg
Little Bear,Else Holmelund Minarik,bears,First published in 1957,/works/OL279316W?edition=ia%3Aosito00else,/authors/OL770431A/Else_Holmelund_Minarik,//covers.openlibrary.org/b/olid/OL13190331M-M.jpg
Corduroy,Don Freeman,bears,First published in 1968,/works/OL4114525W?edition=ia%3Acorduroy00free,/authors/OL1476261A/Don_Freeman,//covers.openlibrary.org/b/olid/OL24204145M-M.jpg
A Bear Called Paddington,Michael Bond,bears,First published in 1960,/works/OL10490647W?edition=ia%3Abearcalledpaddin00bond,/authors/OL35174A/Michael_Bond,//covers.openlibrary.org/b/olid/OL15480803M-M.jpg
We're Going on a Bear Hunt,Michael Rosen,bears,First published in 1989,/works/OL2985685W?edition=ia%3Aweregoingonbearh0000rose,/authors/OL457168A/Michael_Rosen,//covers.openlibrary.org/b/olid/OL7954138M-M.jpg
National Geographic Readers,Laura Marsh,bears,First published in 2013,/works/OL20159062W?edition=ia%3Apolarbears0000mars,/authors/OL253917A/Laura_Marsh,//covers.openlibrary.org/b/olid/OL27766306M-M.jpg
Little Bear's Visit,Maurice Sendak,bears,First published in 1961,/works/OL2568814W?edition=ia%3Alittlebearsvisit0000mina_w0a5,/authors/OL366346A/Maurice_Sendak,//covers.openlibrary.org/b/olid/OL20930681M-M.jpg
Winnie-the-Pooh / The House at Pooh Corner,A. A. Milne,bears,First published in 1926,/works/OL476737W?edition=ia%3Aworldofpoohcompl00miln,/authors/OL29881A/A._A._Milne,//covers.openlibrary.org/b/olid/OL24653925M-M.jpg
"The Little Mouse, the Ripe Red Strawberry, and the Big Hungry Bear",Audrey Wood,bears,First published in 1945,/works/OL547420W?edition=ia%3Aluchagsubhlairab0000wood,/authors/OL5116752A/Audrey_Wood,//covers.openlibrary.org/b/olid/OL22606984M-M.jpg
A Kiss for Little Bear,Else Holmelund Minarik,bears,First published in 1958,/works/OL4108919W?edition=ia%3Aunbesoparaosito0000mina,/authors/OL770431A/Else_Holmelund_Minarik,//covers.openlibrary.org/b/olid/OL13190118M-M.jpg
A pocket for Corduroy,Don Freeman,bears,First published in 1978,/works/OL4114524W?edition=ia%3Apocketforcorduro00donf_0,/authors/OL1476261A/Don_Freeman,//covers.openlibrary.org/b/olid/OL4547904M-M.jpg
Winnie-the-Pooh / The House at Pooh Corner / When We Were Very Young / Now We Are Six,A. A. Milne,bears,First published in 1961,/works/OL16043503W?edition=ia%3Acompletetalespoe00miln,/authors/OL29881A/A._A._Milne,//covers.openlibrary.org/b/olid/OL24944466M-M.jpg
Super Bowl Champions,Aaron Frisch,bears,First published in 2014,/works/OL20329354W?edition=ia%3Adenverbroncos0000fris,/authors/OL7684105A/Aaron_Frisch,//covers.openlibrary.org/b/olid/OL28800056M-M.jpg
Father Bear comes home,Else Holmelund Minarik,bears,First published in 1959,/works/OL4108928W?edition=ia%3Afatherbearcomesh0000mina,/authors/OL770431A/Else_Holmelund_Minarik,//covers.openlibrary.org/b/olid/OL28558150M-M.jpg
Begin Smart,Begin Smart Books,bears,First published in 2008,/works/OL9897484W?edition=ia%3Awhatdoesbabysay0000unse,/authors/OL3879458A/Begin_Smart_Books,//covers.openlibrary.org/b/olid/OL12341970M-M.jpg
The True Story of the Three Little Pigs,Lane Smith,bears,First published in 1989,/works/OL2940317W?edition=ia%3Atruestoryof3l00scie,/authors/OL448404A/Lane_Smith,//covers.openlibrary.org/b/olid/OL2190535M-M.jpg
"Treaties, etc",Russia (Federation),bears,First published in 1995,/works/OL71314W,/authors/OL31594A/Russia_(Federation),//covers.openlibrary.org/b/olid/OL3767792M-M.jpg
"Can't You Sleep, Little Bear?",Martin Waddell,bears,First published in 1988,/works/OL114207W?edition=ia%3Acantyousleeplitt0000wadd_j5p4,/authors/OL32625A/Martin_Waddell,//covers.openlibrary.org/b/olid/OL1574145M-M.jpg
"Polar bear, polar bear, what do you hear?",Bill Martin Jr.,bears,First published in 1991,/works/OL59132W?edition=ia%3Apolarbearpolarbe00mart,/authors/OL28506A/Bill_Martin_Jr.,//covers.openlibrary.org/b/olid/OL24216973M-M.jpg
Blueberries for Sal,Robert McCloskey,bears,First published in 1948,/works/OL4638387W?edition=ia%3Ablueberriesforsa0000mccl_o8n7,/authors/OL952410A/Robert_McCloskey,//covers.openlibrary.org/b/olid/OL21553125M-M.jpg
What I Saw In California,Edwin Bryant,bears,First published in 1848,/works/OL546379W?edition=ia%3Awhatisawincalifoin00brya,/authors/OL38880A/Edwin_Bryant,//covers.openlibrary.org/b/olid/OL6190207M-M.jpg
Little Bear's Friend,Else Holmelund Minarik,bears,First published in 1960,/works/OL4108926W?edition=ia%3Axiaoxiongdehaope0000mina,/authors/OL770431A/Else_Holmelund_Minarik,//covers.openlibrary.org/b/olid/OL23033751M-M.jpg
Bedtime for Frances,Russell Hoban,bears,First published in 1960,/works/OL74253W?edition=ia%3Abedtimeforfrance1960hoba,/authors/OL4401825A/Russell_Hoban,//covers.openlibrary.org/b/olid/OL5796247M-M.jpg
More About Paddington CD,Michael Bond,bears,First published in 1959,/works/OL261368W?edition=ia%3Amoreaboutpadding00bond,/authors/OL35174A/Michael_Bond,//covers.openlibrary.org/b/olid/OL24279614M-M.jpg
Bear,Marian Engel,bears,First published in 1976,/works/OL5280446W?edition=ia%3Abear00enge,/authors/OL1195753A/Marian_Engel,//covers.openlibrary.org/b/olid/OL4885078M-M.jpg
Berenstain Bears Chapter Book,Stan Berenstain,bears,First published in 1998,/works/OL21774676W,/authors/OL19823A/Stan_Berenstain,//covers.openlibrary.org/b/olid/OL29660145M-M.jpg
Winnie-the-Pooh and Some Bees,A. A. Milne,bears,First published in 1975,/works/OL14954371W?edition=ia%3Awinniethepoohsom0000miln,/authors/OL29881A/A._A._Milne,//covers.openlibrary.org/b/olid/OL17288418M-M.jpg
