title,author,category,publish_year,title_id,author_id,cover_url
Guess How Much I Love You,Sam McBratney,bedtime,First published in 1839,/works/OL58402W?edition=ia%3Aguesshowmuchilov0000mcbr_d8g1,/authors/OL34796A/Sam_McBratney,//covers.openlibrary.org/b/olid/OL22362179M-M.jpg
"Goodnight Moon, 60th Anniversary Edition",Margaret Wise Brown,bedtime,First published in 1947,/works/OL151798W?edition=ia%3Agoodnightmoon0000unse,/authors/OL22122A/Margaret_Wise_Brown,//covers.openlibrary.org/b/olid/OL15353628M-M.jpg
Cricket in Times Square,George Selden,bedtime,First published in 1960,/works/OL4110995W?edition=ia%3Acricketintimessq00seld,/authors/OL770900A/George_Selden,//covers.openlibrary.org/b/olid/OL24204364M-M.jpg
Mouse Tales,Arnold Lobel,bedtime,First published in 1972,/works/OL1973389W?edition=ia%3Amousetales00lobe,/authors/OL237115A/Arnold_Lobel,//covers.openlibrary.org/b/olid/OL5296557M-M.jpg
The Napping House (La Casa Adormecida),Audrey Wood,bedtime,First published in 1984,/works/OL547418W?edition=ia%3Alacasaadormecida00wood,/authors/OL5116752A/Audrey_Wood,//covers.openlibrary.org/b/olid/OL1270569M-M.jpg
"Can't You Sleep, Little Bear?",Martin Waddell,bedtime,First published in 1988,/works/OL114207W?edition=ia%3Acantyousleeplitt0000wadd_j5p4,/authors/OL32625A/Martin_Waddell,//covers.openlibrary.org/b/olid/OL1574145M-M.jpg
Bedtime for Frances,Russell Hoban,bedtime,First published in 1960,/works/OL74253W?edition=ia%3Abedtimeforfrance1960hoba,/authors/OL4401825A/Russell_Hoban,//covers.openlibrary.org/b/olid/OL5796247M-M.jpg
Good Night Gorilla,Peggy Rathmann,bedtime,First published in 1994,/works/OL2752731W?edition=ia%3Agoodnightgorill00rath,/authors/OL403903A/Peggy_Rathmann,//covers.openlibrary.org/b/olid/OL1725270M-M.jpg
Piggies,Don Wood,bedtime,First published in 1991,/works/OL4478176W?edition=ia%3Apiggieswood00wood,/authors/OL893532A/Don_Wood,//covers.openlibrary.org/b/olid/OL24368813M-M.jpg
"Ten, nine, eight",Molly Bang,bedtime,First published in 1982,/works/OL2732654W?edition=ia%3Atennineeight0000bang_t9l2,/authors/OL400353A/Molly_Bang,//covers.openlibrary.org/b/olid/OL21617395M-M.jpg
