title,author,category,publish_year,title_id,author_id,cover_url
International review of cytology,George Bourne,biology,First published in 1986,/works/OL24446425W?edition=ia%3Ainternationalrev0000unse_n4i0,/authors/OL5245249A/George_Bourne,//covers.openlibrary.org/b/olid/OL10071772M-M.jpg
Eyewitness,DK Publishing,biology,First published in 2000,/works/OL7960560W?edition=ia%3Acowboy0000murd_y0x0,/authors/OL2655350A/DK_Publishing,//covers.openlibrary.org/b/olid/OL8155982M-M.jpg
On the origin of species by means of natural selection,Charles Darwin,biology,First published in 1859,/works/OL515051W?edition=ia%3Ab28075134,/authors/OL35839A/Charles_Darwin,//covers.openlibrary.org/b/olid/OL6935862M-M.jpg
On the Nature of the Universe,Titus Lucretius Carus,biology,First published in 1486,/works/OL1548597W?edition=ia%3Atlucretiuscaruso02lucr,/authors/OL164746A/Titus_Lucretius_Carus,//covers.openlibrary.org/b/olid/OL24441773M-M.jpg
Kokuritsu Kokkai Toshokan shozō Meijiki kankō tosho maikuro-ban shūsei,Kokuritsu Kokkai Toshokan (Japan),biology,First published in 1991,/works/OL33207850W,/authors/OL1265214A/Kokuritsu_Kokkai_Toshokan_(Japan),/images/icons/avatar_book-sm.png
International Review of Cell and Molecular Biology,Kwang W. Jeon,biology,First published in 2008,/works/OL21015217W?edition=ia%3Ainternationalrev0000unse_p2v0,/authors/OL2030968A/Kwang_W._Jeon,//covers.openlibrary.org/b/olid/OL28479816M-M.jpg
Physics,Aristotle,biology,First published in 1472,/works/OL151632W?edition=ia%3Ain.ernet.dli.2015.183610,/authors/OL6856645A/Aristotle,//archive.org/services/img/in.ernet.dli.2015.183610
Biology,Cecie Starr,biology,First published in 1981,/works/OL1975314W?edition=ia%3Abiologyunitydive00star,/authors/OL237383A/Cecie_Starr,//covers.openlibrary.org/b/olid/OL2730544M-M.jpg
Advances in enzymology and related areas of molecular biology,Alton Meister,biology,First published in 1978,/works/OL20647291W?edition=ia%3Aadvancesinenzymo0046unse,/authors/OL2212760A/Alton_Meister,//covers.openlibrary.org/b/olid/OL9730494M-M.jpg
Le deuxième sexe,Simone de Beauvoir,biology,First published in 1949,/works/OL767941W?edition=ia%3Asecondsex00beaurich,/authors/OL63285A/Simone_de_Beauvoir,//covers.openlibrary.org/b/olid/OL6110335M-M.jpg
